TransactionAmount,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,TransactionAmount_Category_Encoded,Target
14.09,Debit,San Diego,ATM,70.0,Doctor,81.0,1.0,5112.21,0,2
376.24,Debit,Houston,ATM,68.0,Doctor,141.0,1.0,13758.91,0,3
126.29,Debit,Mesa,Online,19.0,Student,56.0,1.0,1122.35,0,0
184.5,Debit,Raleigh,Online,26.0,Student,25.000000000000004,1.0,8569.06,0,2
13.45,Debit,Atlanta,Online,45.0,Student,198.0,1.0,7429.4,0,1
92.15,Debit,Oklahoma City,ATM,18.0,Student,172.0,1.0,781.68,0,0
7.08,Debit,Seattle,ATM,37.0,Doctor,139.0,1.0,13316.71,0,2
171.42,Debit,Indianapolis,Branch,67.0,Retired,291.0,1.0,2796.24,0,3
106.23,Debit,Detroit,Branch,51.0,Engineer,86.0,1.0,9095.14,0,3
815.96,Debit,Nashville,ATM,55.0,Doctor,120.0,1.0,1021.8800000000001,0,0
17.78,Debit,Albuquerque,Online,52.0,Engineer,59.00000000000001,1.0,7599.5199999999995,0,1
190.02,Debit,Memphis,Online,21.0,Student,173.0,1.0,1528.81,0,0
494.52,Debit,Mesa,Branch,24.0,Student,111.0,1.0,1620.02,0,0
781.76,Debit,Memphis,ATM,26.0,Student,123.0,1.0,189.69,0,0
166.99,Debit,Louisville,Online,18.0,Student,134.0,1.0,299.93,0,0
465.45,Debit,Denver,ATM,36.0,Engineer,129.0,1.0,3465.54,0,3
555.8,Debit,Austin,Branch,19.0,Student,158.0,1.0,1131.26,0,1
492.93,Debit,Columbus,Online,39.0,Engineer,234.0,1.0,5109.97,0,1
18.68,Debit,Albuquerque,Branch,59.0,Retired,106.0,1.0,7948.369999999999,0,1
71.48,Debit,Columbus,Online,18.0,Student,169.0,1.0,6568.59,0,1
59.32,Debit,Los Angeles,Branch,71.0,Retired,37.99999999999999,1.0,5750.89,0,0
85.77,Debit,Las Vegas,Branch,38.0,Doctor,93.0,1.0,9146.19,0,3
52.2,Debit,Atlanta,Online,39.0,Engineer,120.0,1.0,8974.93,0,1
345.84,Debit,Fort Worth,Online,22.0,Student,142.0,1.0,1402.5,0,3
145.54,Debit,Raleigh,Online,21.0,Student,96.0,1.0,1930.96,0,2
7.49,Debit,Houston,Online,65.0,Retired,276.0,1.0,3634.67,0,3
246.93,Debit,Miami,ATM,23.0,Student,158.0,1.0,673.3499999999999,0,0
40.32,Debit,Milwaukee,Branch,37.0,Engineer,95.0,1.0,2686.52,0,0
127.45,Debit,Las Vegas,Online,44.0,Doctor,197.0,1.0,1772.06,0,3
56.17,Debit,Detroit,Branch,27.0,Student,283.0,1.0,1351.69,0,3
28.31,Debit,Miami,Online,59.0,Doctor,20.0,1.0,8334.47,0,0
59.12,Debit,Baltimore,ATM,29.0,Doctor,257.0,1.0,9823.64,0,1
396.45,Debit,New York,ATM,49.0,Engineer,168.00000000000003,1.0,9690.15,0,0
877.81,Debit,Los Angeles,Online,22.0,Student,150.0,1.0,399.0,0,0
